饥渴	jike
潜流	qmlq
乾隆	qmls
群魔乱舞	qmlw
前轮	qmly
浅陋	qmlz
钱粮	qmll
前面	qmmm|qm|qmm
前门	qmmf
千米	qmmi
签名	qmmk
阡陌	qmmo
千年	qmnm
潜能	qmng
迁怒	qmnu
倩女	qmnv
前排	qmpd
前期	qmqi
牵强	qmql
浅浅	qmqm
缱绻	qmqr
千秋	qmqq
欠缺	qmqt
前去	qmqu
前任	qmrf
谦让	qmrh
前日	qmri
歉然	qmrj
嵌入	qmru
浅色	qmse
遣散	qmsj
遣送	qmss
青霉素	qmsu
潜逃	qmtc
前台	qmtd
前提	qmti
浅谈	qmtj
潜艇	qmtk
前天	qmtm
欠条	qmtn
欠妥	qmto
前途	qmtu
前腿	qmtv
牵头	qmtz
前哨	qmuc
牵涉	qmue
前身	qmuf
前生	qmug
前世	qmui
签署	qmuu
潜水	qmuv
签收	qmuz
前兆	qmvc
欠债	qmvd
前者	qmve
签证	qmvg
欠账	qmvh
前置	qmvi
前瞻	qmvj
犬马之劳	qmvl
青梅竹马	qmvm
前传	qmvr
签注	qmvu
前缀	qmvv
千瓦	qmwa
前往	qmwh
钱物	qmwu
前卫	qmww
潜心	qmxb
前夕	qmxi
前行	qmxk
前线	qmxm
浅笑	qmxn
前些	qmxp
前胸	qmxs
谦虚	qmxu
谦逊	qmxy
牵引	qmyb
前夜	qmye
迁移	qmyi
前沿	qmyj
倩影	qmyk
千元	qmyr
潜泳	qmys
签约	qmyt
潜在	qmzd
谴责	qmze
签字	qmzi
前奏	qmzz
阡陌纵横	qmzh
侨胞	qnbc
峭壁	qnbi
勤能补拙	qnbv
憔悴	qncv
青年才俊	qncj
敲定	qndk|qnd
敲打	qnda
敲掉	qndn
桥洞	qnds
桥墩	qndy
强扭的瓜不甜	qndt
樵夫	qnfu
轻诺寡信	qngx
巧合	qnhe|qnh
翘楚	qniu|qni
巧劲	qnjb
敲击	qnji
瞧见	qnjm
桥接	qnjp
侨居	qnju
桥架	qnjx
翘课	qnke|qnk
撬开	qnkd
墙内开花墙外香	qnkx
去哪了	qnl
桥梁	qnll
巧了	qnle
俏丽	qnli
敲锣	qnlo
侨民	qnmb
荞麦	qnmd
敲门	qnmf
巧妙	qnmn
乔木	qnmu
俏皮	qnpi|qnp
桥牌	qnpd
敲破	qnpo
翘起	qnqi
乔迁	qnqm
悄悄	qnqn
悄然	qnrj
桥头	qntz|qnt
悄声	qnug
翘首	qnuz
翘舌	qnue
敲诈	qnva|qnv
瞧着	qnve
乔装	qnvl
强弩之末	qnvm
敲钟	qnvs
七年之痒	qnvy
千难万险	qnwx
敲响	qnxl
倾囊相授	qnxu
巧言	qnyj
迁怒于人	qnyr
巧遇	qnyu
情难自禁	qnzj
窃案	qpan|qpa
七拼八凑	qpbc
且不	qpbu
七平八稳	qpbw
切菜	qpcd
切磋	qpco
切断	qpdr|qpd
倾盆大雨	qpdy
切分	qpff
切腹	qpfu
全盘否定	qpfd
切割	qpge|qpg
窃国	qpgo
俏皮话	qphx|qph
切合	qphe
前仆后继	qphj
亲朋好友	qphy
切除	qpiu|qpi
切成	qpig
怯场	qpih
切齿	qpii
切记	qpji
切开	qpkd|qpk
且看	qpkj
切块	qpkk
切口	qpkz
前怕狼，后怕虎	qplh
且慢	qpmj|qpm
切脉	qpmd
窃密	qpmi
切面	qpmm
怯懦	qpno|qpn
轻飘飘	qppn|qpp
切片	qppm
枪炮齐鸣	qpqm
窃取	qpqu
怯弱	qpro
切入	qpru
切碎	qpsv|qps
切丝	qpsi
切题	qpti
窃听	qptk
切身	qpuf
怯生	qpug
切实	qpui
且说	qpuo
强迫症	qpv
怯阵	qpvf
切中	qpvs
且住	qpvu
七品芝麻官	qpvg
切勿	qpwu|qpw
窃喜	qpxi
切线	qpxm
窃笑	qpxn
欺骗性	qpxk
惬意	qpyi|qpy
千篇一律	qpyl
且有	qpyz
茄子	qpzi|qpz
窃贼	qpzw
求稳	qqwf
期期艾艾	qqaa
求爱	qqai
七七八八	qqbb
千奇百怪	qqbg
球棒	qqbh
求变	qqbm
秋波	qqbo
龟兹	qqci
凄凄惨惨	qqcc
求财	qqcd
全权代表	qqdb
敲敲打打	qqdd
求得	qqde
秋冬	qqds
球队	qqdv
泅渡	qqdu
千秋大业	qqdy
群起而攻之	qqev
秋风	qqfg|qqf
秋分	qqff
牵强附会	qqfh
囚犯	qqfj
求告	qqgc
求购	qqgz
奇奇怪怪	qqgg
全球化	qqhx
求和	qqhe
秋毫	qqhc
求欢	qqhr
求婚	qqhy
秋后	qqhz
前前后后	qqhh
强取豪夺	qqhd
秋茶	qqia
囚车	qqie
球场	qqih
清清楚楚	qqii
妻妾成群	qqiq
权倾朝野	qqiy
囚禁	qqjb
秋季	qqji
求见	qqjm
求教	qqjn
求解	qqjp
求救	qqjq
秋菊	qqju
权钱交易	qqjy
茕茕孑立	qqjl
谦谦君子	qqjz
秋裤	qqku
勤勤恳恳	qqkk
丘陵	qqlk|qql
囚笼	qqls
球类	qqlw
七情六欲	qqly
起起落落	qqll
强强联合	qqlh
强强联手	qqlu
球门	qqmf
球迷	qqmi
求偶	qqou|qqo
球拍	qqpd
裘皮	qqpi
亲戚朋友	qqpy
求亲	qqqb
求情	qqqk
秋千	qqqm
求求	qqqq
求全	qqqr
求取	qqqu
求饶	qqrc
求人	qqrf
秋日	qqri
虬髯	qqrj
秋色	qqse|qqs
球赛	qqsd
求索	qqso
轻轻松松	qqss
窃窃私语	qqsy
秋天	qqtm
球台	qqtd
球体	qqti
囚徒	qqtu
全情投入	qqtr
求生	qqug
糗事	qqui
求神	qquf
琴棋书画	qquh
确确实实	qquu
秋水	qquv
七窍生烟	qquy
秋收	qquz
求真	qqvf
求证	qqvg
酋长	qqvh
求职	qqvi
求战	qqvj
秋装	qqvl
求助	qqvu
曲曲折折	qqvv
乔迁之喜	qqvx
千秋万代	qqwd
球王	qqwh
千千万万	qqww
求学	qqxt|qqx
求新	qqxb
恰恰相反	qqxf
球星	qqxk
球鞋	qqxp
区区小事	qqxu
球员	qqyr|qqy
蚯蚓	qqyb
秋雨	qqyu
秋游	qqyz
求全责备	qqzb
圈外	qrwd
圈地	qrdi
全本	qrbf
弃若敝履	qrbl
全班	qrbj
权柄	qrbk
全部	qrbu
全才	qrcd
全村	qrcy
拳打	qrda
劝导	qrdc
权当	qrdh
圈定	qrdk
全对	qrdv
全都	qrdz
拳法	qrfa|qrf
全副	qrfu
劝告	qrgc|qrg
全国	qrgo
颧骨	qrgu
权贵	qrgv
权衡	qrhg|qrh
全会	qrhv
权臣	qrif
全程	qrig
全场	qrih
拳击	qrji
全景	qrjk
全角	qrjn
劝解	qrjp
劝酒	qrjq
全局	qrju
全家	qrjx
全军	qrjy
权利	qrli
全裸	qrlo
全码	qrma
全民	qrmb
全貌	qrmc
全名	qrmk
全面	qrmm
权谋	qrmz
全年	qrnm
全能	qrng
圈内	qrnw
全屏	qrpk|qrp
全拼	qrpb
全盘	qrpj
全票	qrpn
拳谱	qrpu
欺软怕硬	qrpy
全球	qrqq|qrq
全勤	qrqb
恰如其分	qrqf
圈钱	qrqm
权且	qrqp
全权	qrqr
全让	qrrh
全然	qrrj
强人所难	qrsn
全速	qrsu
圈套	qrtc
全体	qrti
全天	qrtm
欺人太甚	qrtu
劝退	qrtv
拳头	qrtz
全身	qruf
全省	qrug
券商	qruh
全市	qrui
劝说	qruo
权术	qruu
泉水	qruv
权证	qrvg
全职	qrvi
权重	qrvs
齐人之福	qrvf
全文	qrwf
全无	qrwu
权威	qrww
全新	qrxb
全息	qrxi
劝降	qrxl
权限	qrxm
全校	qrxn
沁人心脾	qrxp
全选	qrxr
泉下	qrxx
权益	qryi
泉眼	qryj
全员	qryr
千人一面	qrym
杞人忧天	qryt
痊愈	qryu
气若游丝	qrys
气若幽兰	qryl
圈子	qrzi|qrz
全责	qrze
前人栽树，后人乘凉	qrzl
劝阻	qrzu
七死八活	qsbh
穹顶	qsdk|qsd
穷国	qsgo
穷鬼	qsgv
起死回生	qshu
前思后想	qshx
穷尽	qsjb|qsj
穷举	qsju
穷困	qsky|qsk
穷苦	qsku
穹隆	qsls
奇思妙想	qsmx
琴瑟琵琶	qspp
穷人	qsrf|qsr
穷酸	qssr|qss
起诉书	qsuu|qsu
情随事迁	qsuq
千丝万缕	qswl
前所未闻	qsww
前所未有	qswy
轻松愉快	qsyk
轻松自如	qszr
确保	qtbc
雀斑	qtbj
青天白日	qtbr
却不	qtbu
却被	qtbw
缺词	qtci
墙头草	qtcc
求同存异	qtcy
缺点	qtdm|qtd
缺德	qtde
蜻蜓点水	qtdu
缺钙	qtgd|qtg
奇谈怪论	qtgl
情同骨肉	qtgr
清汤寡水	qtgu
缺憾	qthj
缺货	qtho
钱塘潮	qti
亲痛仇快	qtik
雀巢	qtic
情同姐妹	qtjm
缺口	qtkz|qtk
缺课	qtke
囚徒困境	qtkj
确立	qtli|qtl
穷途末路	qtml
却没	qtmw
晴天霹雳	qtpl
青铜器	qtqi|qtq
缺勤	qtqb
缺钱	qtqm
鹊桥	qtqn
确切	qtqp
掐头去尾	qtqw
确认	qtrf|qr|qtr
却让	qtrh
缺损	qtsy|qts
缺铁	qttp
缺少	qtuc
缺省	qtug
气吞山河	qtuh
确实	qtui
却说	qtuo
情同手足	qtuz
确诊	qtvf|qtv
千头万绪	qtwx
前途未卜	qtwb
前途无量	qtwl
缺陷	qtxm
确信	qtxb
缺席	qtxi
确需	qtxu
却又	qtyz|qty
却要	qtyc
却也	qtye
缺氧	qtyh
雀跃	qtyt
确凿	qtzc|qtz
却在	qtzd
瘸子	qtzi
祛斑	qubj
区别	qubp
禽兽不如	qubr
七上八下	qubx
寝食不安	quba
求神拜佛	qubf
屈才	qucd
驱策	quce
屈从	qucs
渠道	qudc
取代	qudd
取得	qude
取缔	qudi
去掉	qudn
区段	qudr
驱动	quds
欺世盗名	qudm
穷山恶水	queu
全身而退	quet
螓首蛾眉	quem
区分	quff|quf
曲风	qufg
屈服	qufu
去过	qugo|qug
驱赶	qugj
亲生骨肉	qugr
全神贯注	qugv
囚首垢面	qugm
七十古稀	qugx
区号	quhc
气势恢宏	quhh
驱寒	quhj
取货	quho
取回	quhv
区划	quhx
秦始皇	quhl
驱车	quie
去除	quiu
趋近	qujb
取经	qujk
亲身经历	qujl
区间	qujm
曲解	qujp
屈就	qujq
取决	qujt
屈居	quju
屈驾	qujx
穷奢极欲	qujy
取款	qukr
躯壳	quke
切实可行	qukx
取乐	qule
去留	qulq
去路	qulu
切身利益	quly
青史留名	qulm
去吗	quma
曲目	qumu
曲面	qumm
取名	qumk
欺上瞒下	qumx
青少年	qun
其实难副	qunf
去年	qunm
取暖	qunr
气势磅礴	qupb
欺善怕恶	qupe
去皮	qupi
曲谱	qupu
取钱	quqm
取巧	quqn
娶亲	quqb
曲奇	quqi
轻手轻脚	quqj
怯声怯气	quqq
区区	ququ
屈辱	quru
气势如虹	qurh
去日	quri
请神容易送神难	qurn
去死	qusi|qus
情深似海	qush
驱散	qusj
欺霜赛雪	qusx
躯体	quti
趋同	quts
切身体会	quth
取舍	quue
取胜	quug
趋势	quui
屈伸	quuf
全胜时期	quuq
曲折	quve
曲直	quvi
取证	quvg
驱逐	quvu
区长	quvh
求神问卜	quwb
趣闻	quwf
千山万水	quwu
趣味	quww
欺上罔下	quwx
取信	quxb
屈膝	quxi
去向	quxl
曲线	quxm
取消	quxn
驱邪	quxp
取下	quxx
轻声细语	quxy
翘首以待	quyd
取样	quyh
曲艺	quyi
清水衙门	quym
翘首以盼	quyp
情深缘浅	quyq
屈原	quyr
取用	quys
取悦	quyt
区域	quyu
取走	quzz|quz
屈尊	quzy
曲子	quzi
求之不得	qvbd
牵着不走，打着倒退	qvbt
却之不恭	qvbg
取之不尽	qvbj
七折八扣	qvbk
穷追不舍	qvbu
起征点	qvdm|qvd
乔装打扮	qvdb
浅斟低唱	qvdi
轻重倒置	qvdv
枪支弹药	qvdy
区政府	qvfu|qvf
敲竹杠	qvgh|qvg
齐抓共管	qvgg
强中更有强中手	qvgu
轻重缓急	qvhj
欠债还钱	qvhq
起重机	qvji|qvj
轻装简从	qvjc
屈指可数	qvku
弃之可惜	qvkx
清正廉洁	qvlj
敲诈勒索	qvls
穷追猛打	qvmd
青壮年	qvnm|qvn
罄竹难书	qvnu
曲终人散	qvrs
弃之如敝屐	qvrj
趋之若鹜	qvrw
弃之如敝履	qvrl
清真寺	qvsi|qvs
轻装上阵	qvuv
切中时弊	qvub
气壮山河	qvuh
起止时间	qvuj
其中之一	qvvy
千真万确	qvwq
强制性	qvxk|qvx
奇珍异宝	qvyb
奇装异服	qvyf
切中要害	qvyh
情真意切	qvyq
掐指一算	qvys
其中一个	qvyg
取之有道	qvyd
取之于民	qvym
轻舟已过万重山	qvyu
牵着走	qvzz|qvz
前阵子	qvzi
清者自清	qvzq
强中自有强中手	qvzu
去伪存真	qwcv
去芜存菁	qwcj
前无古人	qwgr
奇文共赏	qwgu
区位码	qwma|qwm
悄无声息	qwux
全无是处	qwui
期望值	qwvi|qwv
其味无穷	qwwq
趣味相投	qwxt
全无心肝	qwxg
趣闻轶事	qwyu
恰当	qxdh
掐掉	qxdn
牵线搭桥	qxdq
掐断	qxdr
恰逢	qxfg
奇形怪状	qxgv
清心寡欲	qxgy
恰好	qxhc
齐心合力	qxhl
气象局	qxj
穷凶极恶	qxje
谦虚谨慎	qxju
抢险救灾	qxjz
卡壳	qxke
勤学苦练	qxkl
取消了	qxle|qxl
前些年	qxnm|qxn
穷乡僻壤	qxpr
恰恰	qxqx|qq|qxq
恰巧	qxqn
全心全意	qxqy
恰如	qxru|qxr
求贤若渴	qxrk
其臭如兰	qxrl
掐算	qxsr
气象台	qxtd
洽谈	qxtj
清新脱俗	qxts
全校师生	qxuu
掐住	qxvu|qxv
裙下之臣	qxvi
掐准	qxvy
群雄逐鹿	qxvl
千辛万苦	qxwk
气象万千	qxwq
确信无疑	qxwy
齐心协力	qxxl
倾向于	qxy
浅显易懂	qxyd
取信于民	qxym
泉下有知	qxyv
缺心眼	qxyj
卡子	qxzi|qxz
晴雨表	qybn|qyb
缺一不可	qybk
千依百顺	qybu
前言不搭后语	qyby
轻徭薄赋	qybf
去一次	qyci|qyc
去也匆匆	qycc
岂有此理	qycl
前一段	qydr|qyd
群岛	qydc
裙带	qydd
情有独钟	qydv
企业单位	qydw
七月份	qyff|qyf
群发	qyfa
趋炎附势	qyfu
曲意逢迎	qyfy
轻言放弃	qyfq
奇异果	qygo
企业管理	qygl
区域化	qyh
群号	qyhc
前因后果	qyhg
前仰后合	qyhh
轻于鸿毛	qyhm
强颜欢笑	qyhx
秋月春风	qyif
取义成仁	qyir
前一句	qyj
群架	qyjx
犬牙交错	qyjc
群居	qyju
裙裤	qyku
情有可原	qyky
请原谅	qyll
巧言令色	qyls
潜移默化	qymh
欠一屁股债	qypv
瞧一瞧	qyqn|qyq
确有其事	qyqu
巧言如簧	qyrh
清一色	qyse|qys
群体	qyti|qyt
窃玉偷香	qytx
潜意识	qyui|qyu
群山	qyuj
潜意识里	qyul
群众	qyvs|qyv
权宜之计	qyvj
群主	qyvu
前一阵子	qyvz
区域性	qyx
器宇轩昂	qyxa
群星	qyxk
群雄	qyxs
逡巡	qyxy
气焰熏天	qyxt
起源于	qyy
穷于应付	qyyf
群英	qyyk
求爷爷告奶奶	qyyn
其言也善	qyyu
群友	qyyz
青眼有加	qyyj
裙子	qyzi
签字笔	qzbi|qzb
千姿百态	qzbt
七嘴八舌	qzbu
全自动	qzds|qzd
穷则独善其身	qzdu
青藏高原	qzgy
亲自出马	qzim
起早摸黑	qzmh
千载难逢	qznf
穷则思变	qzsb
起早贪黑	qzth
确凿无疑	qzwy
擒贼先擒王	qzxw|qzx
起作用	qzys|qzy
人	r|rfpn
入	rup|rupn
日	ri|rik|rika
如	ru|runk
任	rf
然	rj|rjph
忍	rfr|rfrx
认	rfy
热	re|ref|refh
让	rh|rhy
容	rs
荣	rsc|rscm
仍	rg|rgr|rgrn
融	rsa|rsai
染	rjd
瑞	rvw|rvwe
润	ryd|rydw
肉	rz|rznr
若	ro|reck|rock
仁	rfre
软	rr|rri|rrir
弱	rog|rogd
绕	rc|rcs|rcsw
燃	rjh|rjhh
扰	rcf|rcfy
绒	rss|rssu
乳	rupv
锐	rvj|rvje
壤	rht
柔	rzs|rzsm
儒	rur|rure
辱	rui
溶	rsd|rsdk
饶	rcu|rcuw
汝	rud|rudn
扔	rgf|rgfn
蓉	rsck
韧	rfw|rfwr
阮	rre|rree
熔	rsh|rshk
刃	rfd
纫	rfs
惹	rec|recx
冉	rjl|rjla
攘	rhf|rhfy
茹	ruc|ruck
戎	rsg|rsgu
饪	rfu|rfur
榕	rsm|rsmk
嚷	rhk|rhky
睿	rvl|rvlo
偌	ror|rork
褥	rupc
芮	rvcn
茸	rsce
揉	rzf|rzfm
冗	rsb|rsbj
孺	ruz|ruze
濡	rude
蕊	rvc|rvcx
闰	rym|rymw
嵘	rse|rsem
妊	rfn|rfnr
蠕	ruie
糅	rzm
荏	rfc|rfcr
苒	rjc|rjcr
鞣	rzg|rzgm
稔	rfh
娆	rcn|rcnw
瓤	rhw|rhwg
蹂	rzz|rzzm
髯	rja|rjar
壬	rfq|rfp|rfqa|rfpu
蕤	rvcu
仞	rfrr
轫	rfi
嚅	ruk|ruke
衽	rfpr
缛	rus|rusc
箬	rov|rovk
溽	rudc
穰	rhh|rhhy
铷	ruj
蚋	rvi|rvin
禳	rhp|rhpy
桡	rcm|rcmw
洳	rudk
枘	rvm|rvmn
蚺	rji|rjir
荛	rcc|rccw
狨	rsq|rsqu
蝾	rsi|rsim
薷	ruce
襦	rupe
蓐	rucc
纴	rfsr
瀼	rhd|rhdy
嬬	run|rune
镕	rsj|rsjk
儴	rhry
蘘	rhc|rhcy
蒻	roc|rocd
爇	roch
堧	rrt|rrtd
媆	rrn|rrnd|nfnd
瑢	rsw|rswk
汭	rvd|rvdn
鄀	roce
日期	rq|riqi
认为	rw|rfww
日本	rb|ribf
如下	rx|ruxx|rux
认真	rv|rfvf
人们	rm|rfmf
容易	ry|rsyi|rsy
人类	rl|rflw
认可	rk|rfke
热爱	ra|reai|rea
认同	rt|rfts|rft
热闹	rn|renc|ren
人品	rp|rfpb
认得	rd|rfde
容不得	rbde|rbd
肉包打狗	rbdg
入不敷出	rbfi
人不犯我，我不犯人	rbfr
认不出	rbiu|rbi
弱不禁风	rbjf
人不可貌相，海水不可斗量	rbkl|rbk
锐不可当	rbkd
人不可貌相	rbkx
饶不了	rbln|rbl
日不落帝国	rblg
惹不起	rbqi|rbq
惹不起还躲不起	rbqq
热不热	rbre|rbr
人不如故	rbrg
如臂使指	rbuv
忍不住	rbvu|rbv
人不为己	rbwj
容不下	rbxx|rbx
日薄西山	rbxu
肉包子打狗	rbzg|rbz
人才辈出	rcbi
绕道	rcdc|rcd
扰动	rcds
如此而已	rcey
绕过	rcgo|rcg
绕场	rcih|rci
人才济济	rcjj
绕开	rckd|rck
如此看来	rckl
扰乱	rclr|rcl
饶了	rcle
人财两空	rclk
绕路	rclu
扰民	rcmb
饶命	rcmk
饶人	rcrf|rcr
饶舌	rcue
如此说来	rcul
饶恕	rcuu
绕着	rcve|rcv
如此这般	rcvb
如此之多	rcvd
冗词赘句	rcvj
绕弯	rcwj|rcw
绕行	rcxk|rcx
如此下作	rcxz
绕远	rcyr|rcy
如此一来	rcyl
绕嘴	rczv|rcz
肉嘟嘟	rdd
人大代表	rddb
人多地少	rddu
人多势众	rduv
人定胜天	rdut
人地生疏	rduu
人道主义	rdvy
入地无门	rdwm
热带鱼	rdyu|rdy
热带雨林	rdyl
人多嘴杂	rdzz
任督二脉	rdem
惹的祸	rdho|rdh
人多好干活	rdhh
热播	rebo|reb
热点	redm|red
热带	redd
热度	redu
热风	refg
热敷	refu
热狗	regz|reg
惹祸	reho|reh
热乎	rehu
热诚	reig|rei
热茶	reia
热潮	reic
热忱	reif
热键	rejm|rej
热烈	relp|rel
热辣	rela
热浪	relh
热力	reli
热量	rell
热恋	relm
热流	relq
热泪	relw
日耳曼	remj|rem
热卖	remd
热门	remf
热能	reng
热评	repk|rep
热情	reqk|req
热气	reqi
热切	reqp
惹人	rerf|rer
热热	rere
热死	resi|res
热土	retu|ret
热汤	reth
热天	retm
热身	reuf|reu
惹事	reui
热水	reuv
热衷	revs|rev
热吻	rewf|rew
热望	rewh
热舞	rewu
热心	rexb|rex
热线	rexm
热销	rexn
热血	rext
惹眼	reyj|rey
热议	reyi
认养	rfyh
仁爱	rfai|rfa
人才	rfcd
仁慈	rfci
认错	rfco
人非草木	rfcm
人大	rfda
人道	rfdc
韧带	rfdd
认定	rfdk
认罚	rffa
人犯	rffj
人工	rfgs|rfg
人格	rfge
认购	rfgz
人海	rfhd
任何	rfhe
人行	rfhh
仁厚	rfhz
人话	rfhx
人潮	rfic
认出	rfiu
认床	rfil
人称	rfig
仁川	rfir
人家	rfjx|rfj
韧劲	rfjb
人际	rfji
人间	rfjm
任教	rfjn
人杰	rfjp
人均	rfjy
人口	rfkz|rfk
认了	rfle
人力	rfli
认领	rflk
人流	rflq
人民	rfmb|rfm
人马	rfma
任命	rfmk
任免	rfmm
人脑	rfnc
忍耐	rfnd
任凭	rfpk
如法炮制	rfpv
人气	rfqi
人情	rfqk
人权	rfqr
人群	rfqy
忍让	rfrh
忍忍	rfrf
人肉	rfrz
荏苒	rfrj
人体	rfti
人头	rftz
人参	rfuf
人生	rfug
认识	rfui
认输	rfuu
人非圣贤	rfux
忍受	rfuz
人渣	rfva
忍着	rfve
认证	rfvg
认账	rfvh
认知	rfvi
人种	rfvs
忍住	rfvu
认准	rfvy
人文	rfwf
忍心	rfxb
任性	rfxk
人像	rfxl
人选	rfxr
仁兄	rfxs
人妖	rfyc
任意	rfyi
人烟	rfyj
人影	rfyk
人员	rfyr
任用	rfys
人浮于事	rfyu
任由	rfyz
人贩子	rfz
人造	rfzc
认字	rfzi
认罪	rfzv
扔到	rgdc|rgd
扔掉	rgdn
扔给	rggw|rgg
荣归故里	rggl
仍会	rghv|rgh
容光焕发	rghf
人工呼吸	rghx
扔出	rgiu|rgi
仍旧	rgjq|rgj
扔进	rgjb
扔了	rgle|rgl
人过留名	rglm
人过留名，雁过留声	rglu
热锅里的蚂蚁	rgly
人高马大	rgmd
仍能	rgng|rgn
绕个圈	rgqr|rgq
扔弃	rgqi
仍然	rgrj|rr
如隔三秋	rgsq
仍是	rgui|rgu
热锅上的蚂蚁	rguy
人工智能	rgvn
仍未	rgww|rgw
扔下	rgxx|rgx
日光浴	rgyu|rgy
仍要	rgyc
仍以	rgyi
人各有志	rgyv
如鲠在喉	rgzh
让步	rhbu|rhb
让道	rhdc
荣华富贵	rhfg
让给	rhgw|rhg
融会贯通	rhgt
热乎乎	rhhu
让出	rhiu|rhi
热火朝天	rhit
热乎劲	rhjb|rhj
让开	rhkd
让路	rhlu|rhl
让利	rhli
人海茫茫	rhmm
如花美眷	rhmj
让其	rhqi|rhq
任何人	rhr
让人	rhrf
嚷嚷	rhrh
如火如荼	rhrt
如花似玉	rhsy
如虎添翼	rhty
如何是好	rhuh
惹火烧身	rhuu
如获至宝	rhvb
人海战术	rhvu
让位	rhww
让贤	rhxm|rhx
让座	rhzo|rhz
日程表	ribn|rib
日报	ribc
日班	ribj
入场费	rifw|rif
日光	rigl|rig
日晷	rigv
日后	rihz|rih
日韩	rihj
日化	rihx
日常	riih|rii
日程	riig
日产	riij
日出	riiu
日渐	rijm|rij
日记	riji
日久	rijq
日剧	riju
日均	rijy
日寇	rikz
日历	rili|ril
日落	rilo
日暮	rimu
日冕	rimm
日内	rinw|rin
入场券	riqr|riq
日前	riqm
日趋	riqu
日日	riri|rir
如痴如醉	rirz
日头	ritz|rit
日晒	riud|riu
日食	riui
日常生活	riuh
日照	rivc|riv
日志	rivi
日文	riwf|riw
人畜无害	riwh
日线	rixm|rix
日下	rixx
日夜	riye|riy
日益	riyi
日元	riyr
日用	riys
日月	riyt
日语	riyu
如出一辙	riyv
日子	rizi|riz
日杂	riza
忍饥挨饿	rjae
染病	rjbk|rjb
如假包换	rjbh
忍俊不禁	rjbj
燃点	rjdm
染毒	rjdu
人杰地灵	rjdl
人间地狱	rjdy
日进斗金	rjdj
然而	rjer|rje
染发	rjfa|rjf
燃放	rjfh
然否	rjfz
人间凡品	rjfp
染缸	rjgh|rjg
人际关系	rjgx
然后	rjhz|r
染红	rjhs
人迹罕至	rjhv
染成	rjig
燃具	rjju|rjj
燃尽	rjjb
人尽皆知	rjjv
日久见人心	rjjx
燃料	rjln
软键盘	rjpj|rjp
燃气	rjqi|rjq
人尽其才	rjqc
如见其人	rjqr
冉冉	rjrj
人见人爱	rjra
若即若离	rjrl
染色	rjse|rjs
如饥似渴	rjsk
如胶似漆	rjsq
日久天长	rjti
燃烧	rjuc|rju
染上	rjuh
日久生情	rjuq
染指	rjvi|rjv
人间重晚晴	rjvq
人急智生	rjvu
入境问俗	rjws
燃油	rjyz|rjy
日积月累	rjyl
人皆有之	rjyv
人间烟火	rjyh
然则	rjze|rjz
绕口令	rklk|rkl
人困马乏	rkmf
如履薄冰	rlbb
如临大敌	rldd
人来疯	rlfg|rlf
如来佛	rlfo
如雷贯耳	rlge
热烈欢迎	rlhy
人流量	rlll|rll
如履平地	rlpd
揉了揉	rlrz|rlr
人来人往	rlrw
任劳任怨	rlry
如狼似虎	rlsh
绕梁三日	rlsr
扰乱视听	rlut
如临深渊	rluy
人老珠黄	rlvh
日理万机	rlwj
人类文明	rlwm
人力物力	rlwl
人离乡贱	rlxj|rlx
日落西山	rlxu
热泪盈眶	rlyk
肉烂在锅里	rlzl
人民币	rmbi|rmb
如梦方醒	rmfx
人命关天	rmgt
人脉关系	rmgx
人模狗样	rmgy
如沐春风	rmif
如梦初醒	rmix
软绵绵	rmmm|rmm
若明若暗	rmra
入木三分	rmsf
人面桃花	rmth
日暮途穷	rmtq
人面兽心	rmux
人民政府	rmvf
燃眉之急	rmvj
入幕之宾	rmvb
人满为患	rmwh
软磨硬泡	rmyp
人莫予毒	rmyd
戎马一生	rmyu
茹毛饮血	rmyx
如芒在背	rmzb
人民大学	rmdx
人民银行	rmyh
忍耐力	rnli|rnl
如你所愿	rnsy
如鸟兽散	rnus
日内瓦	rnwa|rnw
阮囊羞涩	rnxs
若不	robu|rob
弱点	rodm|rod
偌大	roda
若非	rofw
若干	rogj
弱国	rogo
弱冠	rogr
弱化	rohx|roh
弱旅	rolv|rol
若能	rong
弱弱	roro
弱势	roui
弱者	rove
弱智	rovi
弱小	roxn|rox
弱项	roxl
若有	royz
若要	royc
弱于	royu
若再	rozd|roz
人怕出名猪怕壮	rpiv|rpi
如期而至	rqev
人去楼空	rqlk
人情冷暖	rqln
柔情蜜意	rqmy
热气球	rqqq|rqq
如泣如诉	rqrs
人前人后	rqrh
入情入理	rqrl
柔情似水	rqsu
热气腾腾	rqtt
忍气吞声	rqtu
人情世故	rqug
人情债	rqv
人穷志短	rqvd
人情味	rqww|rqw
人弃我取	rqwq
日清月结	rqyj
热情洋溢	rqyy
绕圈子	rqzi|rqz
任其自然	rqzr
软蛋	rrdj|rrd
人人得而诛之	rrdv
忍辱负重	rrfv
人若犯我	rrfw
如日方升	rrfu
人若犯我，我必犯人	rrfr
软骨	rrgu|rrg
软膏	rrgc
软管	rrgr
软化	rrhx|rrh
人人喊打	rrhd
软和	rrho
热热乎乎	rrhh
软尺	rrii
软床	rril
软件	rrjm|rrj
软禁	rrjb
人人皆知	rrjv
软了	rrle|rrl
软肋	rrlw
热热闹闹	rrnn
软盘	rrpj|rrp
人人平等	rrpd
人如其名	rrqm
弱肉强食	rrqu
软弱	rrro|rrr
