拆分：乛豕	彖
拆分：扌𧘇	攮
拆分：正攵	政
拆分：求攵	救
拆分：甫攵	敷
拆分：非文	斐
拆分：文柬	斓
拆分：丶十	斗
拆分：米十	料
拆分：𠂊十	斛
拆分：人十	斜
拆分：石斤	斫
拆分：立斤	新
拆分：方丶	於
拆分：方也	施
拆分：方毛	旄
拆分：方丶	旐
拆分：方乛	旒
拆分：日一	旦
拆分：丨日	旧
拆分：九日	旮
拆分：日九	旯
拆分：日丿	旸
拆分：日升	昇
拆分：氏日	昏
拆分：日斤	昕
拆分：日丿	昣
拆分：永日	昶
拆分：尺一	昼
拆分：日龙	昽
拆分：日业	显
拆分：日丶	晁
拆分：日一	晅
拆分：日成	晟
拆分：日甫	晡
拆分：日母	晦
拆分：日斤	晰
拆分：日一	暄
拆分：日一	暅
拆分：日柬	暕
拆分：日乛	曷
拆分：月丶	朓
拆分：丶月	朗
拆分：月乀	朦
拆分：木乛	札
拆分：木丶	术
拆分：木卜	朴
拆分：木乛	朽
拆分：木叉	杈
拆分：木丿	杉
拆分：木才	材
拆分：木勺	杓
拆分：木丈	杖
拆分：木亡	杧
拆分：木丿	杨
拆分：木少	杪
拆分：木不	杯
拆分：木丨	杼
拆分：木及	极
拆分：木开	枅
拆分：木乛	枍
拆分：木斤	析
拆分：木乂	枢
拆分：木长	枨
拆分：木乛	枵
拆分：木丶	柊
拆分：木甲	柙
拆分：木由	柚
拆分：木巨	柜
拆分：木斥	柝
拆分：木氐	柢
拆分：木一	查
拆分：木久	柩
拆分：木龙	栊
拆分：木永	栐
拆分：木开	栟
拆分：木乛	栲
拆分：木羊	样
拆分：木亍	桁
拆分：木丶	桃
拆分：木王	框
拆分：木一	桓
拆分：木亚	桠
拆分：木少	桫
拆分：木用	桶
拆分：木用	桷
拆分：木母	梅
拆分：禾木	梨
拆分：木丿	梯
拆分：木廾	械
拆分：木乛	梳
拆分：非木	棐
拆分：木丨	棒
拆分：一乀	棘
拆分：木㠯	棺
拆分：木亚	椪
拆分：木也	椸
拆分：木乛	椹
拆分：木一	楂
拆分：木柬	楝
拆分：木一	楦
拆分：木丨	榉
拆分：木非	榧
拆分：木十	槲
拆分：木乛	樾
拆分：木一	橙
拆分：木乀	橡
拆分：木豕	橼
拆分：木一	檀
拆分：木乀	檬
拆分：木十	櫆
拆分：与人	欤
拆分：匚人	欧
拆分：一止	正
拆分：止丿	步
拆分：不正	歪
拆分：歹丿	殄
拆分：歹丿	殇
拆分：歹一	殪
拆分：匚又	殴
拆分：龶母	毒
拆分：丿乛	毓
拆分：毛口	毡
拆分：毛火	毯
拆分：厶毛	毵
拆分：人毛	毹
拆分：毛廴	毽
拆分：毛日	氆
拆分：毛日	氇
拆分：亡民	氓
拆分：气丿	氕
拆分：气乃	氖
拆分：气川	氚
拆分：气弗	氟
拆分：气丶	氡
拆分：气羊	氧
拆分：气亚	氩
拆分：氵九	氿
拆分：氵匚	汇
拆分：氵刁	汈
拆分：氵叉	汊
拆分：氵勺	汋
拆分：氵乞	汔
拆分：氵也	池
拆分：氵亏	污
拆分：氵丿	汤
拆分：氵开	汧
拆分：氵井	汫
拆分：氵太	汰
拆分：氵及	汲
拆分：氵卞	汴
拆分：氵凵	汹
拆分：氵斤	沂
拆分：氵屯	沌
拆分：氵少	沙
拆分：氵乂	沤
拆分：氵术	沭
拆分：氵弗	沸
拆分：氵由	油
拆分：氵世	泄
拆分：氵必	泌
拆分：氵乏	泛
拆分：氵氐	泜
拆分：氵民	泯
拆分：氵永	泳
拆分：氵龙	泷
拆分：氵与	泻
拆分：氵丶	泼
拆分：氵羊	洋
拆分：氵乛	洘
拆分：氵尹	洢
拆分：氵聿	津
拆分：氵王	洭
拆分：氵丶	洮
拆分：氵州	洲
拆分：氵开	洴
拆分：氵一	洹
拆分：氵亏	洿
拆分：氵乛	流
拆分：氵丨	济
拆分：氵产	浐
拆分：氵农	浓
拆分：氵丶	浕
拆分：氵斤	浙
拆分：氵甫	浦
拆分：氵母	海
拆分：氵丿	涉
拆分：氵用	涌
拆分：氵我	涐
拆分：氵乛	涔
拆分：氵丿	涕
拆分：氵韦	涠
拆分：氵长	涨
拆分：氵㠯	涫
拆分：氵斤	淅
拆分：氵丶	淤
拆分：氵金	淦
拆分：氵壬	淫
拆分：氵斤	渐
拆分：氵丿	渗
拆分：氵一	渣
拆分：氵一	渲
拆分：氵乛	渴
拆分：氵乛	湛
拆分：氵亚	湴
拆分：氵弓	湾
拆分：氵业	湿
拆分：氵丨	滆
拆分：氵一	滏
拆分：氵毛	滗
拆分：氵𧘇	滚
拆分：氵乎	滹
拆分：氵廾	漭
拆分：氵永	漾
拆分：氵丨	潾
拆分：氵一	澄
拆分：氵斤	澌
拆分：氵丿	澎
拆分：氵柬	澜
拆分：氵一	澶
拆分：氵丨	濞
拆分：氵豕	濠
拆分：氵𧘇	瀼
拆分：一火	灭
拆分：久火	灸
拆分：火勺	灼
拆分：火丿	炀
拆分：火丨	炌
拆分：火少	炒
拆分：火屯	炖
拆分：火斤	炘
拆分：火韦	炜
拆分：火一	炟
拆分：火巨	炬
拆分：丨灬	点
拆分：火乎	烀
拆分：火羊	烊
拆分：火一	烜
拆分：了灬	烝
拆分：火乛	烤
拆分：火丶	烬
拆分：正灬	焉
拆分：火乛	煁
拆分：火一	煊
拆分：匚灬	熙
拆分：豕火	燹
拆分：火丶	爔
拆分：爪巴	爬
拆分：爿口	牁
拆分：片又	版
拆分：片十	牌
拆分：片大	牍
拆分：牛亡	牤
拆分：牛毛	牦
拆分：禾牛	犁
拆分：弓牛	犟
拆分：犭九	犰
拆分：犭尤	犹
拆分：犭丕	狉
拆分：犭甲	狎
拆分：犭瓜	狐
拆分：犭弗	狒
拆分：犭一	猹
拆分：犭𧘇	猿
拆分：犭乀	獴
拆分：王勺	玓
拆分：王久	玖
拆分：王与	玙
拆分：王丿	玚
拆分：王丨	玠
拆分：王牙	玡
拆分：王韦	玮
拆分：王不	环
拆分：王申	珅
拆分：王民	珉
拆分：王必	珌
拆分：王丿	珍
拆分：王龙	珑
拆分：王聿	珒
拆分：王丶	珧
拆分：王亍	珩
拆分：王成	珹
拆分：王求	球
拆分：王乃	琇
拆分：王乛	琉
拆分：王丨	琫
拆分：王㠯	琯
拆分：王乛	琴
拆分：王禹	瑀
拆分：王一	瑄
拆分：王柬	瑓
拆分：王必	瑟
拆分：王一	璒
拆分：王丨	璘
拆分：王一	璮
拆分：王必	璱
拆分：王𧘇	瓖
拆分：瓜失	瓞
拆分：大瓜	瓠
拆分：西瓜	瓢
拆分：八瓦	瓮
拆分：人瓦	瓴
拆分：丷瓦	瓶
拆分：冫瓦	瓷
拆分：乂瓦	瓻
拆分：立瓦	瓿
拆分：艹瓦	甍
拆分：士瓦	甏
拆分：丷瓦	甑
拆分：冂丨	用
拆分：冂乛	甩
拆分：龴用	甬
拆分：宀用	甯
拆分：田丨	畀
拆分：申丿	畅
拆分：田丨	界
拆分：田瓜	畖
拆分：田丿	畛
拆分：疒了	疗
拆分：疒乞	疙
拆分：疒久	疚
拆分：疒一	疟
拆分：疒万	疠
拆分：疒丿	疡
拆分：疒尤	疣
拆分：疒丨	疥
拆分：疒一	疸
拆分：疒丿	疹
拆分：疒丶	疼
拆分：疒用	痈
拆分：疒羊	痒
拆分：疒一	痘
拆分：疒用	痛
拆分：疒少	痧
拆分：疒丶	瘀
拆分：疒丿	瘆
拆分：疒羊	癣
拆分：一白	百
拆分：白乛	癿
拆分：白勺	的
拆分：百百	皕
拆分：乃皿	盈
拆分：央皿	盎
拆分：目屯	盹
拆分：丿目	盾
拆分：少目	省
拆分：目少	眇
拆分：目毛	眊
拆分：目乂	眍
拆分：目民	眠
拆分：目乏	眨
拆分：目龙	眬
拆分：目王	眶
拆分：目丶	眺
拆分：目丿	睇
拆分：上目	督
拆分：目禹	瞩
拆分：目一	瞪
拆分：目丨	瞬
拆分：目丨	瞵
拆分：龴乛	矜
拆分：矢丨	矧
拆分：矢巨	矩
拆分：矢一	短
拆分：石乞	矻
拆分：石凡	矾
拆分：石丿	砀
拆分：石少	砂
拆分：石牙	砑
拆分：石开	研
拆分：石专	砖
拆分：石屯	砘
拆分：石氐	砥
拆分：石乏	砭
拆分：石本	砵
拆分：石申	砷
拆分：石巾	砸
拆分：石我	硪
拆分：石乛	硫
拆分：石亡	硭
拆分：石用	确
拆分：石丿	碜
拆分：石母	碡
拆分：石乛	碣
拆分：石亚	碰
拆分：石口	碱
拆分：石一	碴
拆分：石一	碹
拆分：石𧘇	磙
拆分：石一	磴
拆分：石丨	磷
拆分：石一	礓
拆分：石乀	礞
拆分：礻乛	礼
拆分：礻氏	祇
拆分：礻斤	祈
拆分：礻韦	祎
拆分：礻必	祕
拆分：礻氐	祗
拆分：礻申	神
拆分：礻羊	祥
拆分：礻丶	祧
拆分：禾厶	私
拆分：禾几	秃
拆分：禾干	秆
拆分：禾火	秋
拆分：禾匕	秕
拆分：禾且	租
拆分：禾末	秣
拆分：禾平	秤
拆分：禾央	秧
拆分：禾失	秩
拆分：禾八	积
拆分：禾小	称
拆分：禾口	秸
拆分：禾夕	移
拆分：禾夕	秽
拆分：禾巾	稀
拆分：禾子	稃
拆分：禾口	稆
拆分：禾王	程
拆分：禾月	稍
拆分：禾儿	税
拆分：禾土	稑
拆分：禾心	稔
拆分：禾十	稗
拆分：禾果	稞
拆分：禾口	稠
拆分：禾心	稳
拆分：禾夂	稷
拆分：禾八	稹
拆分：禾日	稽
拆分：禾口	稿
拆分：禾小	穄
拆分：禾口	穑
拆分：禾心	穗
拆分：禾里	穜
拆分：禾辶	穟
拆分：丨立	竖
拆分：立乛	竭
拆分：𥫗开	笄
拆分：𥫗及	笈
拆分：𥫗爪	笊
拆分：𥫗尹	笋
拆分：𥫗毛	笔
拆分：𥫗由	笛
拆分：𥫗本	笨
拆分：𥫗一	笪
拆分：𥫗丿	笫
拆分：𥫗丿	第
拆分：𥫗龙	笼
拆分：𥫗王	筐
拆分：𥫗凡	筑
拆分：𥫗巾	箍
拆分：𥫗廾	算
拆分：𥫗㠯	管
拆分：𥫗夹	箧
拆分：𥫗丨	箨
拆分：𥫗口	箴
拆分：𥫗非	篚
拆分：𥫗戍	篾
拆分：𥫗斤	簖
拆分：丨米	粲
拆分：米丿	糁
拆分：米用	糒
拆分：丿小	系
拆分：丨小	紧
拆分：纟丨	纠
拆分：纟乞	纥
拆分：纟勺	约
拆分：纟及	级
拆分：纟丸	纨
拆分：纟刃	纫
拆分：纟韦	纬
拆分：纟屯	纯
拆分：纟少	纱
拆分：纟壬	纴
拆分：纟氏	纸
拆分：纟一	纻
拆分：纟丨	纼
拆分：纟丨	纾
拆分：纟世	绁
拆分：纟申	绅
拆分：纟丶	终
拆分：纟弗	绋
拆分：纟亏	绔
拆分：纟亍	绗
拆分：纟乃	绣
拆分：纟丿	绨
拆分：纟㠯	绾
拆分：纟口	缄
拆分：纟少	缈
拆分：纟一	缰
拆分：缶乎	罅
拆分：冂亡	罔
拆分：罒不	罘
拆分：丷丨	羊
拆分：𦍌久	羑
拆分：𦍌永	羕
拆分：⺶氐	羝
拆分：⺶乛	羯
拆分：习中	翀
拆分：非习	翡
拆分：一习	翮
拆分：耂乛	考
拆分：而丿	耏
拆分：耒井	耕
拆分：耒少	耖
拆分：耒毛	耗
拆分：耒㠯	耜
拆分：耒禺	耦
拆分：一一	耳
拆分：耳丁	耵
拆分：耳阝	耶
拆分：耳止	耻
拆分：耳火	耿
拆分：耳又	聂
拆分：耳冉	聃
拆分：耳龴	聆
拆分：耳卩	聊
拆分：耳八	职
拆分：耳丁	聍
拆分：耳口	聒
拆分：耳天	联
拆分：耳人	聩
拆分：耳心	聪
拆分：月亏	肟
拆分：月丿	肠
拆分：月屯	肫
拆分：月井	肼
拆分：月太	肽
拆分：丨月	肾
拆分：月中	肿
拆分：月长	胀
拆分：月办	胁
拆分：月申	胂
拆分：月一	胆
拆分：月瓜	胍
拆分：月丿	胗
拆分：月丕	胚
拆分：月甲	胛
拆分：月氐	胝
拆分：月也	胣
拆分：月龙	胧
拆分：月卜	胩
拆分：月亏	胯
拆分：月凵	胸
拆分：月开	胼
拆分：月永	脉
拆分：月丨	脐
拆分：月凵	脑
拆分：月农	脓
拆分：月甫	脯
拆分：月𧘇	脿
拆分：月丨	膈
拆分：月丨	膦
拆分：月丿	膨
拆分：月一	膻
拆分：一攵	致
拆分：一禾	臻
拆分：千氏	舐
拆分：夕丨	舛
拆分：丿丨	舜
拆分：舟中	舯
拆分：舟由	舳
拆分：舟毛	艉
拆分：舟乀	艨
拆分：艹乛	艺
拆分：艹九	艽
拆分：艹乃	艿
拆分：艹凡	芃
拆分：艹丸	芄
拆分：艹勺	芍
拆分：艹弓	芎
拆分：艹亡	芒
拆分：艹乡	芗
拆分：艹之	芝
拆分：艹不	芣
拆分：艹乛	芤
拆分：艹丨	芥
拆分：艹及	芨
拆分：艹乛	芩
拆分：艹氏	芪
拆分：艹斤	芹
拆分：艹毛	芼
拆分：艹牙	芽
拆分：艹韦	苇
拆分：艹儿	苉
拆分：艹长	苌
拆分：艹一	苎
拆分：艹办	苏
拆分：艹民	苠
拆分：艹巨	苣
拆分：艹丕	苤
拆分：艹本	苯
拆分：艹必	苾
拆分：艹弗	茀
拆分：艹戊	茂
拆分：艹丿	茅
拆分：艹氐	茋
拆分：艹龙	茏
拆分：艹丨	茝
拆分：艹亡	茫
拆分：艹中	茽
拆分：艹一	荁
拆分：艹亍	荇
拆分：艹壬	荏
拆分：艹乛	荒
拆分：艹开	荓
拆分：艹丨	荠
拆分：艹丿	荡
拆分：艹丶	荩
拆分：艹勺	药
拆分：艹甫	莆
拆分：艹少	莎
拆分：艹母	莓
拆分：艹乃	莠
拆分：艹我	莪
拆分：艹尤	莸
拆分：艹屯	莼
拆分：艹廾	莽
拆分：艹勺	菂
拆分：艹㠯	菅
拆分：艹丶	菝
拆分：艹丶	菟
拆分：艹斤	菥
拆分：艹瓜	菰
拆分：艹丨	萚
拆分：艹产	萨
拆分：艹一	萱
拆分：艹聿	葎
拆分：艹乛	葚
拆分：艹乛	葛
拆分：艹甫	葡
拆分：艹廾	葬
拆分：艹女	葳
拆分：艹口	葴
拆分：艹人	蒇
拆分：艹甫	蒲
拆分：艹瓜	蓏
拆分：艹戍	蔑
拆分：艹乛	蔬
拆分：艹斤	蕲
拆分：艹斤	薪
拆分：艹羊	藓
拆分：艹禺	藕
拆分：艹手	藦
拆分：艹亍	蘅
拆分：艹𧘇	蘘
拆分：虍几	虎
拆分：虍力	虏
拆分：丿几	虒
拆分：虍文	虔
拆分：虍几	虤
拆分：虫乛	虬
拆分：虫亡	虻
拆分：虫乞	虼
拆分：虫下	虾
拆分：万虫	虿
拆分：虫丨	蚓
拆分：虫牙	蚜
拆分：虫毛	蚝
拆分：虫丨	蚧
拆分：虫十	蚪
拆分：虫丘	蚯
拆分：虫由	蚰
拆分：虫曲	蛐
拆分：虫羊	蛘
拆分：虫丨	蛴
拆分：虫用	蛹
拆分：虫我	蛾
拆分：非虫	蜚
拆分：虫斤	蜥
拆分：虫十	蝌
拆分：虫乛	蝎
拆分：虫酉	蝤
拆分：一虫	融
拆分：虫廾	蟒
拆分：虫丿	蟛
拆分：虫乀	蠓
拆分：血丑	衄
拆分：血半	衅
拆分：衤卜	补
拆分：龶𧘇	表
拆分：衤叉	衩
拆分：衤丿	衫
拆分：衤壬	衽
拆分：衤乛	衿
拆分：土𧘇	袁
拆分：衤韦	袆
拆分：衤一	袒
拆分：衤由	袖
拆分：衤丿	袗
拆分：求𧘇	裘
拆分：衤𧘇	裱
拆分：非𧘇	裴
拆分：衤卜	褂
拆分：衤乛	褐
拆分：衤手	襻
拆分：冂子	觃
拆分：𠂊用	角
拆分：𠂊瓜	觚
拆分：止用	觜
拆分：𠂊丿	觞
拆分：戌用	觱
拆分：九口	訄
拆分：讠卜	讣
拆分：讠上	让
拆分：讠乞	讫
拆分：讠川	训
拆分：讠刃	讱
拆分：讠井	讲
拆分：讠韦	讳
拆分：讠乂	讴
拆分：讠巨	讵
拆分：讠牙	讶
拆分：讠凵	讻
拆分：讠斥	诉
拆分：讠丿	诊
拆分：讠氐	诋
拆分：讠王	诓
拆分：讠成	诚
拆分：讠羊	详
拆分：讠廾	诫
拆分：讠乃	诱
拆分：讠母	诲
拆分：讠用	诵
拆分：讠乛	谌
拆分：讠乛	谎
拆分：讠柬	谏
拆分：讠一	谑
拆分：讠乛	谒
拆分：讠丶	谗
拆分：讠丿	谚
拆分：讠柬	谰
拆分：一工	豇
拆分：一又	豉
拆分：一乛	豌
拆分：月豕	豚
拆分：豕巾	豨
拆分：龴乀	豫
拆分：豕人	豮
拆分：山豕	豳
拆分：豸口	貂
拆分：豸木	貅
拆分：豸口	貉
拆分：豸百	貊
拆分：豸匕	貔
拆分：豸大	貘
拆分：丨人	贞
拆分：冂才	财
拆分：丨人	贤
拆分：冂长	账
拆分：冂乏	贬
拆分：冂一	贮
拆分：冂丶	赆
拆分：冂求	赇
拆分：来人	赉
拆分：束人	赖
拆分：匚人	赜
拆分：土丨	赳
拆分：土卜	赴
拆分：土丿	趁
拆分：土乛	越
拆分：𧾷勺	趵
拆分：万人	趸
拆分：𧾷开	趼
拆分：𧾷及	趿
拆分：𧾷巨	距
拆分：𧾷亏	跨
拆分：𧾷丶	跳
拆分：𧾷丨	跻
拆分：𧾷用	踊
拆分：𧾷禹	踽
拆分：𧾷一	蹅
拆分：𧾷一	蹬
拆分：𧾷尤	蹴
拆分：𧾷串	蹿
拆分：身木	躲
拆分：身口	躺
拆分：车乛	轧
拆分：车九	轨
拆分：车刃	轫
拆分：车专	转
拆分：车由	轴
拆分：车乎	轷
拆分：车丿	轸
拆分：车甫	辅
拆分：非车	辈
拆分：车亡	辋
拆分：车𧘇	辕
拆分：辶了	辽
拆分：辶万	迈
拆分：辶卩	迎
拆分：辶斤	近
拆分：辶牙	迓
拆分：辶又	返
拆分：辶不	还
拆分：辶工	迳
拆分：辶㠯	追
拆分：辶口	逅
拆分：辶甫	逋
拆分：辶乃	透
拆分：辶豕	逐
拆分：辶求	逑
拆分：辶一	逗
拆分：辶束	速
拆分：辶丽	逦
拆分：辶乀	逮
拆分：辶十	逴
拆分：辶女	逶
拆分：辶目	遁
拆分：辶田	遛
拆分：辶日	遭
拆分：乛阝	那
拆分：屯阝	邨
拆分：乌阝	邬
拆分：丘阝	邱
拆分：丕阝	邳
拆分：丙阝	邴
拆分：氐阝	邸
拆分：业阝	邺
拆分：一阝	郅
拆分：勹阝	郇
拆分：丿阝	郈
拆分：丶阝	郎
拆分：夹阝	郏
拆分：尹阝	郡
拆分：丽阝	郦
拆分：一阝	郪
拆分：乛阝	郿
拆分：禹阝	鄅
拆分：亚阝	鄑
拆分：正阝	鄢
拆分：耳阝	鄹
拆分：西一	酉
拆分：酉勺	酌
拆分：酉也	酏
拆分：氵酉	酒
拆分：酉凵	酗
拆分：酉太	酞
拆分：酉丶	酦
拆分：酉州	酬
拆分：冫酉	酱
拆分：酉母	酶
拆分：酉甫	酺
拆分：酉丽	酾
拆分：工金	銎
拆分：土金	鋆
拆分：氵金	鋈
拆分：车金	錾
拆分：氵金	鎏
拆分：金金	鑫
拆分：钅乛	钆
拆分：钅乛	钇
拆分：钅卜	钋
拆分：钅了	钌
拆分：钅川	钏
拆分：钅丿	钐
拆分：钅凡	钒
拆分：钅勺	钓
拆分：钅丿	钖
拆分：钅叉	钗
拆分：钅开	钘
拆分：钅丐	钙
拆分：钅不	钚
拆分：钅太	钛
拆分：钅巨	钜
拆分：钅屯	钝
拆分：钅少	钞
拆分：钅中	钟
拆分：钅乛	钤
拆分：钅乌	钨
拆分：钅十	钭
拆分：钅本	钵
拆分：钅乛	钺
拆分：钅一	钽
拆分：钅甲	钾
拆分：钅由	铀
拆分：钅必	铋
拆分：钅乛	铐
拆分：钅成	铖
拆分：钅丶	铫
拆分：钅产	铲
拆分：钅丿	铴
拆分：钅甫	铺
拆分：钅我	锇
拆分：钅乃	锈
拆分：钅乛	锍
拆分：钅开	锎
拆分：钅丿	锑
拆分：钅廾	锛
拆分：钅𧘇	锿
拆分：钅丨	镉
拆分：钅手	镎
拆分：钅豕	镓
拆分：钅丨	镛
拆分：钅柬	镧
拆分：钅串	镩
拆分：钅一	镫
拆分：门一	闩
拆分：门才	闭
拆分：门韦	闱
拆分：门甲	闸
拆分：门丶	阏
拆分：门柬	阑
拆分：阝井	阱
拆分：阝丨	阶
拆分：阝龙	陇
拆分：阝丿	陟
拆分：阝禺	隅
拆分：阝丨	隔
拆分：雨亏	雩
拆分：雨丨	霁
拆分：雨母	霉
拆分：雨壬	霪
拆分：丨一	非
拆分：革及	靸
拆分：革一	靼
拆分：革酉	鞧
拆分：革乛	鞨
拆分：革用	鞴
拆分：一丨	韦
拆分：韦刃	韧
拆分：一人	页
拆分：川人	顺
拆分：屯人	顿
拆分：丨人	颅
拆分：乛人	颇
拆分：乛人	颈
拆分：夹人	颊
拆分：匚人	颐
拆分：禾人	颓
拆分：耳人	颞
拆分：几丿	飏
拆分：饣丿	饧
拆分：饣屯	饨
拆分：饣壬	饪
拆分：饣开	饼
拆分：饣我	饿
拆分：饣㠯	馆
拆分：饣一	馇
拆分：饣丶	馋
拆分：饣𧘇	馕
拆分：九自	馗
拆分：禾日	香
拆分：马川	驯
拆分：马也	驰
拆分：马乂	驱
拆分：马开	骈
拆分：马丽	骊
拆分：马丿	骖
拆分：骨丨	骱
拆分：骨氐	骶
拆分：骨禺	髃
拆分：一口	髫
拆分：一匕	髭
拆分：一冉	髯
拆分：一木	髹
拆分：一口	髻
拆分：一土	髽
拆分：一小	鬃
拆分：一乛	鬈
拆分：一火	鬏
拆分：一八	鬒
拆分：一八	鬓
拆分：一又	鬘
拆分：夫丨	鬶
拆分：一夂	鬷
拆分：鬼十	魁
拆分：鬼乛	魆
拆分：鬼亡	魍
拆分：禾鬼	魏
拆分：鱼尤	鱿
拆分：鱼屯	鲀
拆分：鱼由	鲉
拆分：鱼丨	鲚
拆分：鱼羊	鲜
拆分：鱼丽	鲡
拆分：鱼用	鲬
拆分：鱼丿	鲹
拆分：鱼丨	鳙
拆分：鱼丨	鳞
拆分：鱼一	鳣
拆分：鱼㠯	鳤
拆分：九鸟	鸠
拆分：匚鸟	鸥
拆分：丨鸟	鸬
拆分：央鸟	鸯
拆分：氐鸟	鸱
拆分：丽鸟	鹂
拆分：我鸟	鹅
拆分：一鸟	鹉
拆分：肃鸟	鹔
拆分：禾鸟	鹙
拆分：乛鸟	鹛
拆分：一鸟	鹝
拆分：丨工	鹾
拆分：广丨	麟
拆分：广毛	麾
拆分：臼由	鼬
拆分：自九	鼽
拆分：自𧘇	齉
拆分：止凵	齿
拆分：止乞	龁
拆分：止斤	龂
拆分：止禹	龋
拆分：𠂇丶	龙
拆分：人龙	龛
拆分：亻彐	㑇
拆分：口乂	㕮
拆分：土又	㙍
拆分：土女	㙘
拆分：人土	㙦
拆分：女更	㛹
拆分：山口	㟃
拆分：忄彐	㤘
拆分：扌又	㧐
拆分：扌为	㧑
拆分：日又	㬊
拆分：日灬	㬎
拆分：日攵	㬚
拆分：木乂	㭎
拆分：木厶	㭕
拆分：木氺	㰀
拆分：氵乂	㳇
拆分：氵儿	㳘
拆分：氵心	㴔
拆分：氵人	㵐
拆分：火非	㸆
拆分：犭刂	㺄
拆分：氵甘	㽏
拆分：白兀	㿠
拆分：目女	䁖
拆分：石丨	䃅
拆分：冉习	䎃
拆分：丷习	䎖
拆分：月小	䏡
拆分：艹力	䓖
拆分：艹出	䓛
拆分：艹口	䓫
拆分：艹十	䓬
拆分：虫巾	䗖
拆分：虫月	䗛
拆分：广虫	䗪
拆分：虫廴	䗴
拆分：出阝	䢺
拆分：艹阝	䢼
拆分：⺌阝	䣘
拆分：钅日	䦃
拆分：鱼卩	䲟
拆分：鱼日	䲠
拆分：月鱼	䲢
拆分：一鸟	䴓
拆分：亠鸟	䴔
拆分：歹鸟	䴕
拆分：龶鸟	䴖
拆分：丿鸟	䴘
拆分：龙天	䶮
拆分：一丨	丁
拆分：一乛	七
拆分：一二	三
拆分：一丨	丰
拆分：丿一	丹
拆分：丶丶	为
拆分：丶王	主
拆分：乛冫	习
拆分：一一	二
拆分：一丨	于
拆分：一一	五
拆分：止二	些
拆分：亠几	亢
拆分：亠田	亩
拆分：亠小	京
拆分：立朩	亲
拆分：亠且	亹
拆分：丿乀	人
拆分：亻十	什
拆分：亻二	仁
拆分：亻力	仂
拆分：亻丁	仃
拆分：厂人	仄
拆分：亻又	仅
拆分：亻几	仉
拆分：人人	从
拆分：人匕	仑
拆分：人乛	仓
拆分：亻子	仔
拆分：亻士	仕
拆分：亻寸	付
拆分：亻山	仙
拆分：人工	仝
拆分：亻千	仟
拆分：亻弋	代
拆分：人龴	令
拆分：亻三	仨
拆分：亻义	仪
拆分：亻么	仫
拆分：亻门	们
拆分：亻匕	仳
拆分：亻午	仵
拆分：亻牛	件
拆分：亻刀	份
拆分：亻方	仿
拆分：人止	企
拆分：亻心	伈
拆分：亻几	伉
拆分：亻五	伍
拆分：亻又	伎
拆分：亻犬	伏
拆分：亻戈	伐
拆分：亻木	休
拆分：人人	众
拆分：亻火	伙
拆分：人厶	会
拆分：亻力	伤
拆分：亻乛	伧
拆分：亻为	伪
拆分：亻幺	伭
拆分：亻白	伯
拆分：亻口	估
拆分：亻匕	伲
拆分：亻半	伴
拆分：亻龴	伶
拆分：亻口	伺
拆分：亻人	似
拆分：亻口	伽
拆分：亻口	佁
拆分：亻田	佃
拆分：亻立	位
拆分：亻主	住
拆分：亻工	佐
拆分：亻口	佑
拆分：亻口	何
拆分：亻匕	佗
拆分：人小	佘
拆分：亻失	佚
拆分：亻乍	作
拆分：亻口	佝
拆分：亻女	佞
拆分：亻小	你
拆分：亻匕	佬
拆分：亻百	佰
拆分：亻土	佳
拆分：亻耳	佴
拆分：亻口	佶
拆分：亻口	佸
拆分：亻王	佺
拆分：亻乂	佼
拆分：亻人	佽
拆分：亻月	佾
拆分：亻吏	使
拆分：亻儿	侁
拆分：亻土	侄
拆分：亻夕	侈
拆分：亻刂	例
拆分：亻寸	侍
拆分：亻朱	侏
拆分：亻月	侑
拆分：亻口	侗
拆分：亻七	侘
拆分：亻八	供
拆分：亻𧘇	依
拆分：亻夹	侠
拆分：亻口	侣
拆分：亻兀	侥
拆分：亻人	侦
拆分：亻刂	侧
拆分：亻厶	侩
拆分：亻矢	侯
拆分：人刂	侴
拆分：亻又	侵
拆分：亻廴	侹
拆分：亻更	便
拆分：亻人	促
拆分：亻月	俏
拆分：亻刂	俐
拆分：亻口	俗
拆分：亻子	俘
拆分：亻巾	俙
拆分：亻里	俚
拆分：亻木	保
拆分：亻口	信
拆分：亻天	俣
拆分：亻寸	俦
拆分：亻严	俨
拆分：亻两	俩
拆分：亻来	俫
拆分：亻寸	俯
拆分：亻八	俱
拆分：亻非	俳
拆分：亻又	俶
拆分：亻十	俾
拆分：亻犬	倏
拆分：亻刂	倒
拆分：亻火	倓
拆分：亻出	倔
拆分：亻垂	倕
拆分：亻口	倘
拆分：亻矢	候
拆分：亻口	倚
拆分：亻口	倜
拆分：亻小	倞
拆分：亻日	借
拆分：亻日	倡
拆分：亻工	倥
拆分：亻乛	倦
拆分：亻小	倧
拆分：亻口	倨
拆分：亻月	倩
拆分：亻儿	倪
拆分：亻十	倬
拆分：亻女	倭
拆分：亻果	倮
拆分：亻人	债
拆分：亻阝	倻
拆分：亻人	倾
拆分：亻冉	偁
拆分：亻口	偌
拆分：亻艹	偏
拆分：亻土	偓
拆分：亻白	偕
拆分：亻攵	做
拆分：亻丁	停
拆分：亻廴	健
拆分：亻心	偬
拆分：亻面	偭
